Context,Questions,Decision,Answers_client,Answer_partner
Scope Definition,"Based on the IT build solution architecture, create a detailed technical solution design document",YES,Detailed technical solution design document will be created based on detailed business discovery workshop & detailed BRD documents.,
Scope Definition,Create an inventory of IT components (which are part of the IT build solution) with IP addresses and any other unique identifiers,YES,Detailed architecture diagram along with list of required hardware/software will be provided right after detailed business discovery workshops.,
Scope Definition,"Create an IT build solution architecture diagram showing all connection points of the components, and network zone placement",YES,Detailed architecture diagram along with list of required hardware/software will be provided right after detailed business discovery workshops.,
Scope Definition,Determine the Information Asset Relative Value (IARV) by engaging with IT-BRM or Business Group.,YES,Ultimus expect it to handled by UBL team. Ultimus can provided needed assistance.,
Scope Definition,"Indicate with labels and arrows on the IT build solution architecture diagram: the logical locations of IT components and where the data is transmitted, processed and stored",YES,Detailed architecture diagram along with list of required hardware/software will be provided right after detailed business discovery workshops.,
Access Control,Build or configure solution such that inactive user accounts are automatically disabled within 90 days,YES,"Ultimus allows to add active directory user directly. The policy can be applied at AD level. Ultimus can provide information for the inactive users in Ultimus.
Ultimus has plan to include this feature for all users in next release.",
Access Control,Build or configure solution such that staff assigned a security management function shall not perform other duties which can create any conflict of interest.,YES,Staff can only perform authorized activities.,
Access Control,"Build solution such that encryption at storage level (including data on portable digital media, backup media, and in logs) is ensured, in accordance with the Information Asset Relative Value (IARV).",YES,Ultimus supports encryption. This point can be further discussed if more information is needed.,
Access Control,"Build solutions such that if a session has been idle for a time period equal to or less than 15 minutes, the solution requires the user to re-authenticate to re-activate the session.",YES,The configuration is available.,
Access Control,"To securely build the infrastructure of a solution, control procedures should be established to cover the approval process for user requests related to remote access.",YES,All Ultimus modules can be acessed only by authorized users.,
Access Control,"To securely operate a solution,  establish written procedures to allow access to the vendors on sensitive data/information and systems.",YES,The system is hosted at customer environment with complete customer's IT policies. Vendor only access the data with written approval and procedure.,
Access Control,"To ensure smooth and secure operations,immediately revoke access for any terminated users in working hours.",YES,Terminated users access can be immediately revoked.,
Access Control,"In order to build a robust and secure payment system, implement security mechanisms like Anti-skimming and Biometric devices etc on ATMs and POS machines",NO,"As per given scope into RFP, Ultimus solution is only required to run at desktops/laptops/mobile devices.",
Access Control,"To securely operate a solution, individuals with application security administrator roles and privileges should have no transactional authority.",YES,Ultimus only allows to performed authorized tasks.,
Access Control,"To ensure smooth and secure operations, individuals with systems and security administrator roles and privileges on IT infrastructure (e.g. operating systems, databases, network devices and storage devices) should have no transactional authority. Employ the ""least privilege"" principle",YES,Ultimus only allows to performed authorized tasks.,
Access Control,"To build an application system, establish a dedicated security administration function and develop formal procedures for administering access rights allocation. ",YES,Ultimus modules allows to configure necessary security & access rights.,
Access Control,"To ensure secure and seamless operations, registration/enrollment for internal and/or external users should be done prior to offering solution access after due verification through appropriate means.",YES,Ultimus allows registration of internal & external users.,
Access Control,Solution should be built or configured such that it facilitates implementation of key-management processes and procedures for cryptographic keys used for encryption of data,YES,Ultimus allows to encrypt specific business data fields based on business requirement. Ultimus allows to encrypt complete Ultimus CPS data of the tasks/applications into the database.,
Access Control,"To ensure the security and integrity of our operations, verify user identity before modifying any authentication credential",YES,Ultimus use active directory users so user maintenance is done at AD level.,
Analysis of IS Events ,Build or configure application such that user access is logged and activities are linked to individual users. ,YES,User can only perform allowed activities.,
Analysis of IS Events ,"Ensure that cyber threat intelligence is shared with relevant staff with responsibility for the mitigation of cyber risks at the strategic, tactical and operational levels through a secure method.",YES,Ultimus is providing completing auditing of the user access. This information can be further used by UBL team for necessary requirements.,
Analysis of IS Events ,"To build a secure and reliable system, establish logging of remote access communication security event logs, and their protection, and for integration of the event logs with security events monitoring solution.",YES,"Audit logs for all web specific Ultimus components is already available. For machine level remote access, UBL team is supposed to handle.All Ultimus modules available over web are",
Analysis of IS Events ,"To effectively operate a solution, gather and interpret information about relevant cyber threats arising out from the financial institutions, services and utility providers. In this context, relevant cyber threat intelligence may include information that may trigger cyber-attacks on any entity within the financial institutions ecosystem.",YES,Ultimus is providing completing auditing of the user access. This information can be further used by UBL team for necessary requirements.,
Analysis of IS Events ,"To effectively operate a cybersecurity solution, identify key lessons learnt from cyber events that have occurred within and outside the organization in order to improve their resilience capabilities and prevention mechanisms.",YES,Ultimus is providing completing auditing of the user access. This information can be further used by UBL team for necessary requirements.,
Analysis of IS Events ,"As part of building a robust cybersecurity solution, monitor security event logs",YES,Ultimus provides single interface to monitor all logs including event logs.,
Analysis of IS Events ,"To effectively operate a cybersecurity solution, monitor technological developments and keep abreast with new cyber risk management processes that can effectively counter existing and new forms of cyber threats.",YES,"Ultimus Product is properly tested before release and such monitoring is considered. However if any risk is raised by UBL team, Ultimus product team can furhter discuss.",
Analysis of IS Events ,"As part of building a strong cybersecurity solution, set formal procedures for monitoring the use of system resources to detect any unusual or unauthorized activities.",YES,Ultimus recommends to apply such policies at machine/server level through IT plicy. Ultimus has logs/audit to monitor any unauthorized access to Ultimus modules/solutions.,
Analysis of IS Events ,"To effectively operate a cybersecurity solution, the security logs and audit trials should be retained for a period of ten years.",YES,"Technically Ultimus allows to retain the logs for mentioned no of years, however it is not recommended as it can cause performance issues. Instead Ultimus allows to archive and keep it for long time as per IT/Bank policy.",
Analysis of IS Events ,"To effectively operate a cybersecurity solution, use a platform within the industry for the purpose of collecting and exchanging timely information that may facilitate in detection, response, resumption and recovery of systems following a cyber-attack, breach or incident.",YES,Ultimus is providing completing auditing of the user access. This information can be further used by UBL team for necessary requirements.,
Anti-Malware,"As part of building a strong cybersecurity solution, install anti-virus solutions on Windows operating systems with a centrally controlled system for updates",YES,"Ultimus product works fine with anti-virus software, however certail exceptions are required to be added into anti-virus.",
Change Management,"As part of building a strong cybersecurity solution, the change management process shall apply to changes pertaining to system and security configurations, patches for hardware devices and software updates.",YES,Ultimus recommends to use change management process for any change at any level.,
Data Destruction,"To effectively operate a cybersecurity solution, establish secure processes for disposal and destruction of sensitive information.",YES,Ultimus can share recommendation & can help to define such process along with Bank's team.,
Development ,"As part of building a strong cybersecurity solution, a formal process for secure development of solutions is defined and implemented.",YES,Ultimus can provide written procedure & recommendation for secure development.,
Development ,"As part of building a strong cybersecurity solution, an application must be developed such that any web server and any sensitive data storage component (for example, a database server) are not required to be on the same server, nor is the data storage component required to be on the same network zone (such as a DMZ) with the web server.",YES,Ultimus solutions & databases can be installed on different servers by following the IT policy.,
Development ,"As part of building a strong cybersecurity solution, an application must only use or require use of necessary and secure services, protocols, daemons, components, and dependent software and hardware, including those provided by third parties, for any functionality of the application e.g. if NetBIOS, file-sharing, Telnet, FTP, etc., are required by the application, they are secured via SSH, S-FTP, SSL, IPSec, or other technology.",YES,Ultimus allows to use secure services/protocols through https.,
Development ,"As part of building a strong cybersecurity solution, an application must support use of strong cryptography and security protocols (for example, TLS, IPSEC, SSH, etc.) to safeguard sensitive data during transmission over both public networks and bank's internal network.",YES,Ultimus supports strong cryptography. List of used protocols can be provided by Ultimus if needed.,
Development ,"As part of building a strong cybersecurity solution, application code is reviewed prior to release to customers after any significant change, to identify any potential coding vulnerability (using either manual or automated processes)",YES,Ultimus recommends to move any change first at testing environment before it is availble to business users. IT team can run security check at test environment.,
Development ,"As part of building a strong cybersecurity solution, application must not interfere with use of devices, applications, or configurations required for security e.g. application cannot interfere with installation of patches, anti-malware protection, firewall configurations, or any other device, application, or configuration ",YES,Ultimus has no known conflict with security devices/applications.,
Development ,"As part of building a strong cybersecurity solution, applications are developed with fail-safe defaults 

Rationale: 
In order to prevent an attacker from obtaining sensitive information about an application failure that could then be used to create subsequent attacks.",YES,Ultimus uses Microsoft IIS & has an architecture which does not allow attackers to make unauthorized calls.,
Development ,"As part of building a strong cybersecurity solution, coding techniques include documentation of how sensitive information is handled in memory

Rationale: Understanding when and for how long sensitive data is present in memory, as well as in what format, will help application vendors to identify potential insecurities in their applications and determine whether additional protections are needed.",YES,Ultimus can provide such documentation if valid & necessary for implemented solutions.,
